,Unnamed: 0,x_axes_data,y_axes_data,z_axes_data
0,0,0.0,0.0,0.0
1,1,12.5,45.5900148596604,12.5
2,2,10.834614776645704,45.9328098496574,6.370027899330495
3,3,9.729131466539268,47.137542647565,10.830831678473745
4,4,7.2205599455453395,46.56795559303236,9.152559754608458
5,5,5.550862922749992,46.6109809090609,9.838070910129842
6,6,4.760076250993331,46.99771362768895,8.07072336085476
7,7,27.137792145004603,46.16920363962195,12.5
8,8,1.6895379703561235,44.19506513921143,13.29511256280882
9,9,0.7820990789475641,42.24344730135045,12.247394319666906
10,10,-49.49491584320782,40.847440245391546,9.699833892349355
11,11,-50.0,39.11842834154327,9.622485419976748
12,12,-50.0,37.5,8.16866362798157
13,13,0.0,36.31447408325256,8.692510832200053
14,14,1.6895379703561235,34.95490359841064,12.739913901277664
15,15,3.091441469336438,33.860336127427104,0.7363026898393936
16,16,4.732713276562678,33.88077922001563,9.424943728350176
17,17,6.619291521656897,33.294171156923085,12.5
18,18,7.797913037736933,33.89038422446764,0.8751990036854846
19,19,8.925804405550261,35.49324564054296,8.423224128486108
20,20,10.884548186252434,35.241638234956675,8.07072336085476
21,21,10.520828791971722,35.26199051837596,8.262467026928395
22,22,8.092858943673939,33.60104348113153,12.5
23,23,6.680638480445878,33.860336127427104,7.028160729283255
24,24,4.44650119336107,33.61740061238078,10.298075921475112
25,25,27.38031718884379,34.17720794509272,13.62953299300166
26,26,1.4311338061683978,34.78703350117425,13.378856560800209
27,27,0.7885521780570474,36.119516464413806,12.5
28,28,0.8368854178287045,37.5,12.5
29,29,-50.0,37.5,1.4560610963832117
30,30,-50.0,40.02224246222964,8.262467026928395
31,31,-50.0,42.44656884324901,10.043940399946758
32,32,1.375075620636592,44.19506513921143,7.379180882521664
33,33,2.258361765043324,45.51185003761447,12.5
34,34,2.7129664988257494,46.97187009638054,8.645130610219999
35,35,4.082588688753306,46.99771362768895,7.689183769023685
36,36,6.949137077250005,46.858352090549936,12.5
37,37,8.34719822805207,47.48903255462358,7.843734871713128
38,38,9.983919964272872,46.58110671738113,7.722627438870594
39,39,11.135055899340353,45.49439064011033,8.47506594614321
40,40,11.946640674175988,43.05932410978337,8.046572401684452
41,41,12.5,41.42310747803877,9.72000561071074
42,42,12.5,40.54006102751877,9.89994699946852
43,43,12.5,38.87002428562913,12.5
44,44,11.951407219199451,37.5,12.5
45,45,11.14723841214414,36.38772973869184,9.967260346167835
46,46,11.39141302821395,36.69821707114872,8.645130610219999
47,47,12.5,37.5,13.29511256280882
48,48,12.5,40.30016610765065,12.5
49,49,13.09469482397864,41.33469511447899,14.109110137508932
50,50,12.5,43.64426745099509,0.7340403594624216
51,51,12.5,43.91842412729766,7.379180882521664
52,52,11.931830975309104,44.78926379226605,8.863363037681431
53,53,9.658043487633826,46.44325942630924,0.1473614768538351
54,54,8.048370153208399,46.456241066423146,12.5
55,55,7.161918006394813,46.8859352419787,0.294697691740065
56,56,4.204398751041123,46.858352090549936,8.779861735069138
57,57,3.839459621036581,45.897444852696765,8.386561933599337
58,58,2.258361765043324,44.473491295898434,7.843734871713128
59,59,1.1719709303467911,43.39802563761623,8.386561933599337
60,60,0.0,41.99139769100268,12.5
61,61,-0.6572911087377094,40.1996645007849,7.379180882521664
62,62,-0.2608863738154241,37.5,14.193294873498838
63,63,-49.47836737575407,37.5,8.294171156923083
64,64,1.0421469640349952,35.81616978090871,7.379180882521664
65,65,2.012363014566997,35.02226561564937,9.58570082990789
66,66,3.867992561224843,33.307204770823176,12.5
67,67,5.8965697746209145,33.89038422446764,5.550862922749992
68,68,7.2205599455453395,34.17720794509272,12.5
69,69,9.140345256385526,33.89038422446764,0.2974512374408257
70,70,10.30564121825966,34.712533548203766,8.863363037681431
71,71,11.348715627471028,35.26497472015212,9.72000561071074
72,72,8.831130982561358,33.90944468758168,12.5
73,73,8.320446713278194,33.6163321357076,10.027301101974446
74,74,6.16995296845728,34.09874225826393,0.8751990036854846
75,75,3.3958674099265966,33.94030719219188,8.046572401684452
76,76,2.7129664988257494,34.23611567450648,9.989032554623575
